Marca,Modelo,Año,Tipo_Combustible,Potencia_HP,Cilindros,Tipo_Transmision,Categoria_Mercado,Tamaño_Vehiculo,Vehicle Style,KPL_Carretera,KPL_Ciudad,Precio,Consumo_KPL_Carretera
BMW,1 Series M,2011,premium unleaded (required),335.0,6.0,MANUAL,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,11.053744,8.077736,46135,Bajo
BMW,1 Series,2011,premium unleaded (required),300.0,6.0,MANUAL,"Luxury,Performance",Compact,Convertible,11.904032,8.077736,40650,Bajo
BMW,1 Series,2011,premium unleaded (required),300.0,6.0,MANUAL,"Luxury,High-Performance",Compact,Coupe,11.904032,8.502880000000001,36350,Bajo
BMW,1 Series,2011,premium unleaded (required),230.0,6.0,MANUAL,"Luxury,Performance",Compact,Coupe,11.904032,7.652592,29450,Bajo
BMW,1 Series,2011,premium unleaded (required),230.0,6.0,MANUAL,Luxury,Compact,Convertible,11.904032,7.652592,34500,Bajo
BMW,1 Series,2012,premium unleaded (required),230.0,6.0,MANUAL,"Luxury,Performance",Compact,Coupe,11.904032,7.652592,31200,Bajo
BMW,1 Series,2012,premium unleaded (required),300.0,6.0,MANUAL,"Luxury,Performance",Compact,Convertible,11.053744,7.227448000000001,44100,Bajo
BMW,1 Series,2012,premium unleaded (required),300.0,6.0,MANUAL,"Luxury,High-Performance",Compact,Coupe,11.904032,8.502880000000001,39300,Bajo
BMW,1 Series,2012,premium unleaded (required),230.0,6.0,MANUAL,Luxury,Compact,Convertible,11.904032,7.652592,36900,Bajo
BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,Luxury,Compact,Convertible,11.478888000000001,7.652592,37200,Bajo
BMW,1 Series,2013,premium unleaded (required),300.0,6.0,MANUAL,"Luxury,High-Performance",Compact,Coupe,11.904032,8.502880000000001,39600,Bajo
BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,"Luxury,Performance",Compact,Coupe,11.904032,8.077736,31500,Bajo
BMW,1 Series,2013,premium unleaded (required),300.0,6.0,MANUAL,"Luxury,Performance",Compact,Convertible,11.904032,8.077736,44400,Bajo
BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,Luxury,Compact,Convertible,11.904032,8.077736,37200,Bajo
BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,"Luxury,High-Performance",Compact,Convertible,10.6286,7.652592,48250,Bajo
